url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
https://www.eayso.org/,22,13,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,25,0.8,0.2,0,0,0,0.6,0,0.2,0,0,75.0,0,100.0,0.0,0,0,0,62.5,0,0,0,0,0,0,849,6455,892596,0,0,4,legitimate
https://www.nicolacirilli.it/ov?redacted@redacted.tld,53,20,0,3,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,6,4,2,3,2,13,13,8,6.166666667,8.0,5.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,221,1605,0,0,1,0,phishing
http://510637870.swh.strato-hosting.eu/paypal,45,31,1,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.2,0.290322581,0,0,0,0,1,3,1,0,0,0,1,0,5,0,3,3,6,9,9,6,6.2,6.25,6.0,0,0,0,0,0,0,35,0.285714286,0.7142857140000001,0,1,0,0.08,0,0.0,0,1,10.0,0,0.0,100.0,0,0,0,37.5,0,0,0,1,1,0,0,-1,921397,0,1,1,phishing
https://www.infinitytools.com/routing,37,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,3,3,7,13,13,7,7.666666667,8.0,7.0,0,0,0,0,0,0,31,0.64516129,0.35483871,0,0,0,0.272727273,0,0.090909091,1,0,55.55555556,0,33.33333333,66.66666667,0,0,0,50.0,0,0,0,1,1,0,348,6591,309164,0,0,4,legitimate
https://www.iconfinder.com/icons/858729/computer_mouse_icon_computer_mouse_line_icon_mouse_mouse_icon_mouse_line_icon_icon,122,18,0,2,0,0,0,0,0,0,13,0,0,5,0,1,0,0,0,0,1,2,0,0,0,0.049180328,0.0,0,0,1,0,0,2,0,0,0,0,0,0,18,3,3,3,4,10,10,8,5.166666667,6.5,5.0,0,0,0,0,0,0,161,0.925465839,0.074534161,0,1,0,0.333333333,0,0.0,0,1,40.0,0,100.0,0.0,0,0,0,75.0,0,0,0,1,0,0,946,5993,5488,0,0,7,legitimate
http://www.hidoc.co.kr/,23,15,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,2,3,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,144,0.8888888890000001,0.111111111,0,0,0,0.1875,0,0.0,0,0,90.0,0,0.0,100.0,0,0,0,72.34042553,0,0,0,1,1,0,127,7544,100921,0,0,4,legitimate
http://www.gnu.org/s/emacs/manual/html_node/elisp/Standard-Hooks.html,69,11,0,3,1,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,1,0,0,1,0,11,4,1,3,1,8,3,8,4.363636364,3.0,4.666666667,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,100.0,0,0,0,0,0,0,854,9007,7971,0,1,7,legitimate
http://donplitka.in.ua/includes/js/up/aicces/myaccount,54,15,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,6,2,2,9,2,9,9,9,6.0,9.0,5.4,3,0,0,0,0,0,26,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,254,2668,0,0,1,0,phishing
http://www.oldpicsarchive.com/,30,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,14,14,0,8.5,8.5,0.0,0,0,0,0,0,0,93,0.580645161,0.419354839,0,1,0,0.0,0,0.230769231,0,1,56.0,0,55.0,45.0,0,0,0,100.0,0,0,0,1,1,0,74,2118,0,0,0,3,legitimate
http://getactive365.com/wp-includes/css/upgrade/web-upgrade/,60,16,0,1,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.05,0.1875,0,0,0,0,0,1,1,0,0,0,0,0,7,1,2,12,2,12,12,8,6.0,12.0,5.0,3,0,0,0,0,0,2,1.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,50,3237,0,0,1,0,phishing
https://www.targetedonc.com/,28,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,160,0.9125,0.0875,0,0,0,0.0,0,0.142857143,0,0,100.0,0,25.0,75.0,0,0,0,46.66666667,0,0,0,1,1,0,428,2858,291303,0,0,4,legitimate
https://www.liberopensiero.eu/,30,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,14,14,0,8.5,8.5,0.0,0,0,0,0,0,0,167,0.964071856,0.035928144,0,0,0,0.0,0,0.5,0,0,100.0,0,100.0,0.0,0,0,0,87.75510204,0,0,0,1,1,0,0,-1,531106,0,0,4,legitimate
https://www.policearrests.com/,30,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,13,13,0,8.0,8.0,0.0,0,0,0,0,0,0,186,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,1563,5742,476936,0,0,3,legitimate
http://www.heinzreber.net/homeflash1.html,41,18,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.024390244,0.0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,3,4,10,10,10,6.75,6.5,7.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,977,5596,0,0,1,0,phishing
https://woodplc-com-dot-gl494903049.wl.r.appspot.com/,53,44,1,4,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0.169811321,0.204545455,0,0,0,1,0,3,0,0,1,0,0,0,7,2,1,1,0,11,11,0,4.857142857,4.857142857,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,217,5627,0,0,1,5,phishing
https://poravkino.ru:443/,25,12,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0.12,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,9,9,0,9,9,0,9.0,9.0,0.0,0,0,0,0,0,0,19,0.947368421,0.052631579,0,0,0,2.0,0,0.0,0,0,100.0,0,50.0,50.0,0,0,0,0.0,0,0,0,1,1,0,406,5437,6738927,0,1,2,legitimate
http://www.slideserve.com/tamanna-darshan/cs244a-an-introduction-to-computer-networks,85,18,0,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,1,0.035294118,0.0,0,0,1,0,0,2,1,0,0,0,2,0,10,5,2,3,2,12,10,12,6.5,6.5,6.5,0,0,0,0,0,0,96,0.9375,0.0625,0,1,0,0.0,0,0.0,0,1,92.85714286,0,100.0,0.0,0,0,0,72.72727273,0,0,0,1,0,0,989,4489,2889,0,0,5,legitimate
http://document.online-convert.com/convert-to-ppt,49,27,0,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,1,0,1,0,6,1,2,6,2,8,8,7,5.5,7.0,4.0,0,0,0,0,0,0,58,0.137931034,0.8620689659999999,0,1,0,0.06,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,63.63636364,0,0,0,1,0,0,1399,4079,767,0,0,5,legitimate
https://squamish.ca/assets/PDF/3.11-Transportation-Hub-Report-Bunt-March-2009.pdf,81,11,0,3,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.086419753,0.0,0,0,0,0,0,3,0,0,0,0,1,0,12,3,1,8,1,14,8,14,4.916666667,8.0,4.6363636360000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,1,0,363,6550,621523,0,1,4,legitimate
http://www.animamillenaria.it/,30,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,15,15,0,9.0,9.0,0.0,0,0,0,0,0,0,51,0.960784314,0.039215686,0,0,0,0.0,0,0.0,0,0,100.0,0,50.0,50.0,0,0,0,0.0,0,0,0,1,0,0,96,269,0,0,1,2,legitimate
http://www.altiusdirectory.com/Sports/australian-open-tennis-prize-money.html,77,23,0,3,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,2,0,9,4,3,3,4,15,15,10,6.444444444,9.0,5.714285714,0,0,0,0,0,0,5,0.6,0.4,0,0,0,0.0,0,0.0,0,0,33.33333333,0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,276,4838,8307276,0,1,5,legitimate
http://www.what-appinvited01.2waky.com/,39,31,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.076923077,0.096774194,0,0,0,0,0,3,1,0,0,0,0,0,4,4,3,3,0,12,12,0,6.0,6.0,0.0,0,0,0,0,0,0,28,0.25,0.75,0,0,0,0.142857143,0,0.142857143,0,0,100.0,0,0.0,0.0,0,0,0,4.545454545,0,0,0,1,1,0,162,7142,8441470,1,1,1,phishing
http://www.storybookalpacas.com/account4/index2.html,52,24,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.038461538,0.0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,3,3,4,16,16,8,7.4,9.5,6.0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,148,5408,0,0,1,1,phishing
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/35214c3917b5ee6,76,50,1,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.144736842,0.0,0,0,0,1,0,3,1,0,0,0,1,0,7,3,2,3,2,15,13,15,8.428571429,8.4,8.5,0,0,0,0,0,0,4,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,15,4003,5816617,0,1,0,phishing
https://bologna.babyloweb.eu/info/,34,20,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,7,4,9,9,4,6.666666667,8.0,4.0,0,0,0,0,0,2,52,0.980769231,0.019230769,0,0,0,0.0,0,0.0,0,0,85.71428571,0,100.0,0.0,0,0,0,100.0,0,0,0,0,0,0,0,-1,5496959,0,0,0,phishing
https://dpqlhwdclpvxddsghcaztkqbtalxnwgrswpp-dot-gl494903049.wl.r.appspot.com/,78,69,1,4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.115384615,0.130434783,0,0,0,0,0,3,0,0,1,0,0,0,6,3,1,1,0,36,36,0,10.0,10.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,218,5626,0,0,1,5,phishing
https://www.internetslang.com/CLI-meaning-definition.asp,56,21,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,3,3,3,13,13,10,6.5,8.0,5.75,0,0,0,0,0,0,232,0.99137931,0.00862069,0,0,0,1.5,0,0.0,0,0,100.0,0,85.71428571,14.28571429,0,0,0,50.0,0,0,0,0,0,0,826,6843,74297,0,0,5,legitimate
http://www.shmoop.com/time-machine-hg-wells/passivity-quotes.html,65,14,0,3,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,2,0,9,6,2,3,2,9,6,9,5.1111111110000005,4.5,5.285714286,0,0,0,0,0,0,117,0.803418803,0.196581197,0,4,0,0.0,0,0.043478261,0,1,50.0,0,0.0,100.0,0,0,0,20.0,0,0,0,0,0,0,1176,6493,7329,0,1,5,legitimate
http://secureupdate.appleld.com.duilawyeryork.com/ap/e3a3ee09e0f1714,68,42,1,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.132352941,0.0,0,0,0,1,0,3,0,0,0,0,1,0,6,2,2,3,2,15,13,15,8.666666667000001,8.75,8.5,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing
http://ethpromo-giveaway.atspace.cc/,36,28,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,7,7,0,8,8,0,7.666666667,7.666666667,0.0,0,0,0,0,0,0,112,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,220,3433,354815,0,0,2,phishing
http://mdmplus.com.ph/uphty/mail.htm?cmd=lob=rbglogon&amp;_pagelabel=page_logonform&amp;secured_page,100,14,0,3,0,0,1,2,0,3,3,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,3,7,3,11,7,11,5.692307692000001,7.0,5.583333333,0,0,0,0,0,0,4,0.25,0.75,0,1,0,1.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,-1,0,0,1,0,phishing
http://www.dictionary.com/browse/standard-error,47,18,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,5,4,3,3,5,10,10,8,6.4,6.5,6.333333333,0,0,0,0,0,0,96,0.864583333,0.135416667,0,0,0,0.0,0,0.0,0,0,90.47619048,0,0.0,100.0,0,0,0,37.5,0,0,0,0,0,0,294,9204,688,0,0,6,legitimate
